,ACTION,ADVENTURE,ANIMATION,CHILDREN,COMEDY,CRIME,DOCUMENTRY,DRAMA,FANTASY,FILM NOIR,HORROR,MUSICAL,MYSTERY,ROMANCE,SCIFI,THIRILLER,WAR,WESTERN,genre
74,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,DOCUMENTRY
75,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,CRIME|DRAMA
76,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,DRAMA|THIRILLER
77,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,ADVENTURE|CHILDREN|DRAMA
78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ACTION|THIRILLER
79,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,ACTION|COMEDY|WAR
80,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,COMEDY|ROMANCE
81,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ACTION|ADVENTURE|SCIFI
82,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,COMEDY|ROMANCE
83,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,HORROR|SCIFI
84,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,COMEDY
85,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
87,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,COMEDY|ROMANCE
88,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,FILM NOIR|SCIFI
89,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,COMEDY|ROMANCE|THIRILLER
90,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,CHILDREN|COMEDY|MUSICAL
91,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,ACTION|CRIME|ROMANCE
92,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,COMEDY|DRAMA
93,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN|COMEDY
94,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,ANIMATION|CHILDREN|COMEDY|MUSICAL
95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,ACTION|SCIFI|THIRILLER
96,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,ADVENTURE|DRAMA|WESTERN
97,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,DRAMA|THIRILLER
98,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ANIMATION|CHILDREN|MUSICAL
99,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,CRIME|DRAMA|THIRILLER
100,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,ACTION|ADVENTURE|ANIMATION|HORROR|SCIFI
101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANIMATION|CHILDREN
102,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ANIMATION|CHILDREN|MUSICAL
103,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,COMEDY
104,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,COMEDY
105,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,DRAMA|THIRILLER
106,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
107,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,COMEDY
108,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,COMEDY|SCIFI
109,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,ACTION|ADVENTURE|COMEDY|WAR
110,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,COMEDY|ROMANCE
111,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADVENTURE|CHILDREN
112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
113,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANIMATION
114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,DOCUMENTRY
115,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,COMEDY
116,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ACTION|ADVENTURE|THIRILLER
117,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ACTION|ADVENTURE|THIRILLER
118,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,DOCUMENTRY
119,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,COMEDY|CRIME
120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,ACTION|SCIFI|WAR
121,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,COMEDY
122,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,COMEDY|HORROR
123,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,DRAMA|MYSTERY
124,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,DRAMA|ROMANCE
125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
126,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,ACTION|CRIME|DRAMA
127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ACTION|THIRILLER
128,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,CRIME|DRAMA|ROMANCE|THIRILLER
129,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CRIME
130,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,DRAMA|ROMANCE
131,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,ADVENTURE|CHILDREN|DRAMA|MUSICAL
132,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,DRAMA|ROMANCE|WAR
133,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
134,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,DRAMA|MYSTERY|SCIFI|THIRILLER
135,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
136,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
137,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN|COMEDY
138,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN|COMEDY
139,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADVENTURE|CHILDREN
140,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,ADVENTURE|CHILDREN|FANTASY|SCIFI
141,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ADVENTURE|CHILDREN|MUSICAL
142,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,MUSICAL
143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ACTION|THIRILLER
144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,ACTION|SCIFI|THIRILLER
145,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ACTION|THIRILLER
147,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACTION|ADVENTURE
148,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
149,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,COMEDY|DRAMA
150,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ADVENTURE|CHILDREN|COMEDY
151,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,COMEDY|SCIFI
152,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,COMEDY
153,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,COMEDY
154,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,MUSICAL|ROMANCE
155,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,CRIME|THIRILLER
156,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,DRAMA|WAR
157,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,COMEDY
158,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,MYSTERY|THIRILLER
159,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
160,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ACTION|ROMANCE
161,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
162,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,COMEDY
163,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,ACTION|ADVENTURE|SCIFI|THIRILLER
164,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
165,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
166,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,COMEDY
167,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,COMEDY
168,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ANIMATION|COMEDY
169,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,COMEDY|DRAMA|ROMANCE
170,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,COMEDY|SCIFI
171,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,ACTION|ADVENTURE|DRAMA|ROMANCE|SCIFI|WAR
172,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,ACTION|ADVENTURE|COMEDY|ROMANCE
173,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACTION|ADVENTURE
174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SCIFI
175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,ACTION|SCIFI|THIRILLER|WAR
176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ACTION|WESTERN
177,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SCIFI
179,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,DRAMA|WAR
180,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,ACTION|ADVENTURE|ROMANCE|SCIFI|WAR
181,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,CRIME|DRAMA
182,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,ACTION|HORROR|SCIFI|THIRILLER
183,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,ACTION|ADVENTURE|COMEDY|HORROR|SCIFI
184,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,HORROR|ROMANCE|THIRILLER
185,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,ACTION|COMEDY|MUSICAL
186,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,ACTION|CRIME|DRAMA
187,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,ACTION|DRAMA|WAR
188,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ANIMATION|COMEDY
189,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,DRAMA|WAR
190,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,DRAMA|MYSTERY
191,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
192,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
193,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,COMEDY|CRIME
194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,ACTION|SCIFI|THIRILLER
195,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
196,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,DRAMA|ROMANCE
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,THIRILLER
198,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,DRAMA|WAR
199,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,HORROR
200,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,ACTION|ADVENTURE|COMEDY|HORROR
201,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,COMEDY|ROMANCE
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,WESTERN
203,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,COMEDY|SCIFI
204,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,DRAMA|WAR
205,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,ADVENTURE|ANIMATION|SCIFI|THIRILLER
206,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,ACTION|DRAMA|ROMANCE
207,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,COMEDY|HORROR
208,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,COMEDY|DRAMA|MUSICAL
209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACTION|ADVENTURE
210,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,COMEDY|WAR
211,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
212,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,DRAMA|ROMANCE
213,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,DRAMA|MUSICAL|WAR
214,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
215,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,COMEDY|ROMANCE
216,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,HORROR|ROMANCE
217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,THIRILLER
218,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,HORROR
219,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,COMEDY|ROMANCE
220,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
221,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ACTION|ADVENTURE|SCIFI
222,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,DRAMA|THIRILLER
223,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
224,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN|COMEDY
225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ACTION|THIRILLER
226,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ACTION|ADVENTURE|SCIFI
227,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ACTION|ADVENTURE|SCIFI
228,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ACTION|ADVENTURE|SCIFI
229,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ACTION|ADVENTURE|SCIFI
230,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ACTION|ADVENTURE|COMEDY|CRIME
231,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,ACTION|COMEDY|WESTERN
232,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACTION
233,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,ACTION|HORROR
234,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,ACTION|COMEDY|SCIFI|WAR
235,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,COMEDY|DRAMA
236,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,DRAMA|ROMANCE
237,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,COMEDY
238,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,CRIME|DRAMA|SCIFI
239,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ANIMATION|COMEDY
240,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,ACTION|ROMANCE|WAR
241,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,COMEDY
242,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN|COMEDY
243,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,ACTION|DRAMA|THIRILLER
244,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,ACTION|DRAMA|THIRILLER|WAR
245,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,DRAMA|ROMANCE
246,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACTION|ADVENTURE|CHILDREN
247,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,COMEDY|CRIME
248,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,COMEDY
249,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ACTION|SCIFI
250,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,COMEDY
251,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,ACTION|ADVENTURE|SCIFI|THIRILLER
252,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,DRAMA|ROMANCE
253,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ACTION|ADVENTURE|CRIME
254,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,COMEDY|ROMANCE
255,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,COMEDY|ROMANCE
256,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,ACTION|ADVENTURE|COMEDY|SCIFI
257,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,DRAMA|SCIFI
258,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN|COMEDY
259,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,ACTION|MYSTERY|SCIFI|THIRILLER
260,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,CHILDREN|COMEDY
261,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,DRAMA
262,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACTION
263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,SCIFI|THIRILLER
264,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ACTION|THIRILLER
265,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACTION|ADVENTURE
266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
267,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,DRAMA|ROMANCE
